StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
72746,72973.0,135280.0,,,,,14.91311536,85.12091193,232.018561484919,-78.55,-28.69,,7.46,0.632386350803658,K0,1.026,-14.26776,-13.63301,231.17782,-8.4282e-05,4.1665e-05,-2.744e-06
73038,73264.0,138465.0,,,,,14.97291242,87.00628486,146.198830409357,-49.33,-3.12,,8.12,2.29528050860058,F8,0.558,-5.43722,-5.36064,145.9993,-2.6118e-05,2.3345e-05,-1.15e-07
73807,74034.0,,,,,,15.12975734,85.74990256,72.2543352601156,-107.47,46.7,,11.14,6.8456804506037,K8,1.592,-3.65561,-3.91281,72.05564,-1.637e-05,3.7618e-05,1.212e-06
73813,74040.0,,,,,,15.13140873,86.49149825,107.066381156317,-42.81,32.28,,9.69,4.54173438115047,G5,1.1,-4.47093,-4.78965,106.8657,-4.831e-06,2.7386e-05,1.025e-06
75300,75529.0,140625.0,,,,,15.42968099,84.50399624,64.1025641025641,122.54,-25.28,,8.8,4.76562299177231,K0V,0.797,-3.82652,-4.80117,63.80787,2.4904e-05,-2.9848e-05,-7.52e-07
75350,75576.0,145367.0,,,,,15.43914511,87.43540072,130.378096479791,-37.43,21.97,,9.1,3.5239768197449,F8,0.481,-3.62471,-4.57115,130.24751,-9.917e-06,2.5568e-05,6.21e-07
75406,75634.0,141155.0,,,,,15.45289039,84.82536298,185.185185185185,12.83,-51.75,,6.87,0.531968799114844,K0,0.998,-10.33028,-13.12431,184.43044,-1.9566e-05,-4.348e-05,-4.19e-06
75497,75726.0,141263.0,,,,,15.47030205,84.6963518,355.871886120996,3.14,21.25,,9.03,1.2735315995254,K,0.715,-20.22729,-25.9406,354.34833,2.6717e-05,2.5455e-05,3.388e-06
76398,76632.0,143802.0,,,,,15.64995896,85.28585695,125.470514429109,-63.39,33.12,,6.88,1.38729160698056,A5,0.207,-5.95145,-8.42092,125.04606,-1.9899e-05,3.8648e-05,1.655e-06
76874,77109.0,144301.0,,,,,15.74463347,84.57921746,73.5294117647059,-78.91,113.33,,8.05,3.71769454185109,F8,0.498,-3.86725,-5.77019,73.20057,-9.75e-07,4.9066e-05,3.816e-06
77925,78160.0,,,,,,15.96001503,85.79571288,641.025641025641,5.76,8.48,,8.48,-0.554377008227691,G8,0.985,-23.92244,-40.451,639.30063,2.8784e-05,1.3509e-05,1.931e-06
78832,79069.0,150265.0,,,,,16.14093724,86.19983633,446.428571428571,-11.71,16.71,,8.59,0.341240091670816,A2V,0.268,-13.83861,-26.1521,445.44699,-5.522e-06,4.3746e-05,2.396e-06
78861,79100.0,,,,,,16.14584021,85.0703111,186.219739292365,-34.47,-34.63,,10.34,3.98987142849778,G0,0.56,-7.46639,-14.15385,185.53089,-4.2054e-05,-1.3029e-05,-2.686e-06
78937,79176.0,,,,,,16.15964936,88.51173994,289.017341040462,2.91,2.99,,9.27,1.96538049396388,F5,0.465,-3.47829,-6.65187,288.91984,5.553e-06,1.821e-06,1.08e-07
79278,79517.0,149501.0,,,,,16.22624289,84.55190639,227.790432801822,7.09,15.72,,8.56,1.77232260121061,A5,0.166,-9.68597,-19.33708,226.76141,1.4739e-05,1.1944e-05,1.648e-06
79983,80223.0,163545.0,,Gl 654.4,,,16.37694496,88.6060303,296.73590504451,1.41,26.1,-10.3,8.32,0.958149504356694,K0,0.872,-2.97585,-6.57675,296.64808,1.7426e-05,3.3593e-05,-9.617e-06
80320,80561.0,152643.0,,,,,16.44750567,85.6169807,87.719298245614,27.06,36.37,,8.63,3.91452425668236,F8,0.45,-2.65031,-6.15768,87.46275,1.6665e-05,9.615e-06,1.181e-06
80806,81053.0,,,,,,16.55382889,85.8882591,71.7875089734386,-186.24,114.1,,10.41,6.12975558211982,K0,0.82,-1.90257,-4.78276,71.60273,-4.5583e-05,6.0756e-05,2.847e-06
81377,81625.0,153939.0,,,,,16.67187595,84.4573508,476.190476190476,-6.22,8.3,,8.46,0.0710964736695967,K2,0.958,-15.67179,-43.2413,473.96408,-7.001e-06,2.2821e-05,1.85e-06
